Ticker,Title,Timestamp
TSLA,"NFLX, UNH, NVO, DJT, TSLA: 5 Trending Stocks Today - Netflix  ( NASDAQ:NFLX ) , Trump Media & Tech Gr  ( NASDAQ:DJT ) ",2025-04-18 02:20:00+00:00
AAPL,"TSMC Confident Amid Trump Tariff Turmoil: CEO CC Wei Says No Change In Customer Behavior Despite Nvidia H20 Chip Curbs - NVIDIA  ( NASDAQ:NVDA ) , Apple  ( NASDAQ:AAPL ) ",2025-04-18 05:21:00+00:00
MSFT,"Facing Heat From China's DeepSeek And US Rivals, OpenAI CEO Sam Altman Launches Codex CLI: 'A Coding Agent That Runs On Your Computer' - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",2025-04-18 06:49:00+00:00
AMZN,"Stock Market Sell-Off: 2 Brilliant AI Stocks to Buy Hand Over Fist Right Now, According to Wall Street",2025-04-18 07:12:00+00:00
AAPL,"The Best Warren Buffett Stocks to Buy With $1,000 Right Now",2025-04-18 07:20:00+00:00
TSLA,Elon Musk's Tesla Reportedly Manipulating Odometers To Dodge Warranty Repairs - Tesla  ( NASDAQ:TSLA ) ,2025-04-18 07:44:00+00:00
AAPL,"Apple CEO Tim Cook's Dialogue With Commerce Secretary Lutnick Secured Tariff Exemption for iPhones and Electronics: Report - Apple  ( NASDAQ:AAPL ) , Dell Technologies  ( NYSE:DELL ) ",2025-04-18 08:03:00+00:00
AMZN,2 No-Brainer AI Stocks to Buy Right Now,2025-04-18 08:10:00+00:00
AAPL,Shiba Inu Is Plunging in 2025. Buy the Dip or Run for the Hills?,2025-04-18 08:16:00+00:00
MSFT,Can Artificial Intelligence  ( AI )  Leader Nvidia Continue to Grow Despite Trump's Tariffs?,2025-04-18 08:20:00+00:00
TSLA,"Tesla Reportedly Scales Back Cybertruck Production, Shifts Workers As Sales Plummet: 'The Parking Lot Keeps Getting Emptier' - Tesla  ( NASDAQ:TSLA ) ",2025-04-18 08:25:00+00:00
TSLA,Where Will Nio Stock Be in 1 Year?,2025-04-18 09:32:00+00:00
TSLA,"Tesla CEO Elon Musk, Indian PM Modi Discuss Deeper Tech Ties Amid Model Y Test Run In Mumbai - Tesla  ( NASDAQ:TSLA ) ",2025-04-18 09:39:00+00:00
MSFT,Forget the Correction: 2 Artificial Intelligence Stocks That Are Still Worth Buying Anyway,2025-04-18 10:05:00+00:00
