Epoch,Train Loss
1,71968.3671875
2,71879.4296875
3,71809.7265625
4,71756.4765625
5,71715.390625
6,71678.6875
7,71638.5859375
8,71595.9609375
9,71553.2109375
10,71511.3515625
11,71469.1953125
12,71424.0859375
13,71374.359375
14,71323.7890625
15,71278.453125
16,71239.9296875
17,71206.1640625
18,71174.2578125
19,71140.8984375
20,71103.1484375
21,71062.9140625
22,71022.8359375
23,70982.8984375
24,70945.0234375
25,70910.3203125
26,70874.4375
27,70834.6015625
28,70793.9921875
29,70754.015625
30,70711.984375
31,70666.9375
32,70617.1015625
33,70564.1953125
34,70513.8359375
35,70467.2265625
36,70425.3671875
37,70385.5234375
38,70348.1640625
39,70314.1640625
40,70281.0
41,70246.53125
42,70209.1015625
43,70169.9765625
44,70136.1328125
45,70106.8984375
46,70078.40625
47,70049.1171875
48,70018.6328125
49,69986.4765625
50,69953.2734375
51,69923.015625
52,69894.8671875
53,69866.6953125
54,69837.546875
55,69806.7109375
56,69773.703125
57,69737.6484375
58,69698.4296875
59,69661.7421875
60,69627.8359375
61,69595.8671875
62,69567.0546875
63,69539.3203125
64,69511.8046875
65,69484.3671875
66,69456.953125
67,69429.5078125
68,69401.9609375
69,69374.09375
70,69345.5703125
71,69316.0546875
72,69285.3828125
73,69253.09375
74,69221.75
75,69193.3046875
76,69165.7265625
77,69138.328125
78,69110.9921875
79,69083.7109375
80,69056.46875
81,69029.3046875
82,69002.1796875
83,68975.1015625
84,68948.0859375
85,68921.1171875
86,68894.2109375
87,68867.3671875
88,68840.5703125
89,68813.8203125
90,68787.0859375
91,68760.3046875
92,68733.28125
93,68705.6640625
94,68676.7578125
95,68645.9140625
96,68612.3828125
97,68578.265625
98,68548.7421875
99,68521.4296875
100,68494.5078125
